ERROR: logging before google.Init: I0814 16:40:06.132319      66 server.go:1464] Starting language server process with pid 49488
ERROR: logging before google.Init: I0814 16:40:19.864762       1 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0814 16:40:19.866930     308 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0814 16:40:19.867129       1 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0814 16:40:19.867234       1 conversation_manager.go:523] Forwarding user message to conversation 9fbb7961-f573-4dea-aa97-bb97b8d2803c (items=1, media=0)
ERROR: logging before google.Init: I0814 16:40:19.867266       1 server.go:1515] Sending user message to conversation 9fbb7961-f573-4dea-aa97-bb97b8d2803c (items=1, media=0)
ERROR: logging before google.Init: E0814 16:40:19.974318     319 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:40:19.975044     319 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: W0814 16:40:19.980740     319 permission_grant_store.go:373] ignoring invalid allow entry "command": invalid grant string: "command"
ERROR: logging before google.Init: W0814 16:40:19.981130     319 permission_grant_store.go:373] ignoring invalid allow entry "run_command": invalid grant string: "run_command"
ERROR: logging before google.Init: I0814 16:40:19.997655     165 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0814 16:40:20.077197     166 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0814 16:40:20.516326     707 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (Low)"
ERROR: logging before google.Init: I0814 16:40:20.585086     165 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0814 16:40:20.586344     166 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0814 16:40:20.586547     166 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0814 16:40:20.586563     671 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0814 16:40:20.589158     671 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0814 16:40:20.782653     166 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0814 16:40:20.782976     672 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0814 16:40:20.786683     672 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0814 16:40:20.837459     166 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0814 16:40:20.939356     166 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0814 16:40:20.939685     711 manager.go:1222] Reloading system slash commands
ERROR: logging before google.Init: I0814 16:40:20.942914     711 manager.go:1226] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0814 16:40:21.091479     706 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x585968a77f41a20
ERROR: logging before google.Init: I0814 16:40:25.170036     700 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xfee9ce9523410048 ResponseID: xBp_arLHOajokdUP6LGsiAM
ERROR: logging before google.Init: I0814 16:40:28.550058     747 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb8f4e39be2d81a9a ResponseID: zBp_aorwDsS5nsEPgaTa8Qc
ERROR: logging before google.Init: I0814 16:40:32.232852     640 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x182bf2a2ee837b9d ResponseID: zBp_avjsILCN7M8P3sG8kAo
ERROR: logging before google.Init: I0814 16:40:40.763977     798 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xeac3bbe373d11b30 ResponseID: 1Bp_avnEJt7l7M8PuY2uyAE
ERROR: logging before google.Init: I0814 16:40:47.325981     841 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf400df67605c9522 ResponseID: 2hp_ao_7PKXZkdUPhozkCA
ERROR: logging before google.Init: I0814 16:41:01.147853     854 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa38be9fa17538160 ResponseID: 5Rp_aoWPD56QnsEPo5CCiQ0
ERROR: logging before google.Init: I0814 16:41:10.619371     920 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa442b5c649d6d90e ResponseID: 8hp_ateeG7T6nsEPjpWo2AI
ERROR: logging before google.Init: I0814 16:41:16.280893     657 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1d5bdae1ec35b75d ResponseID: -Rp_asmfA5bwvdIPht6O0AI
ERROR: logging before google.Init: E0814 16:41:19.270492     782 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:41:19.271087     782 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: W0814 16:41:19.273412     782 permission_grant_store.go:373] ignoring invalid allow entry "command": invalid grant string: "command"
ERROR: logging before google.Init: W0814 16:41:19.273485     782 permission_grant_store.go:373] ignoring invalid allow entry "run_command": invalid grant string: "run_command"
ERROR: logging before google.Init: I0814 16:41:27.408502    1223 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xaad116d81914a7cb ResponseID: Axt_asTVGKO0nsEPi6qrmAo
ERROR: logging before google.Init: E0814 16:41:28.776584    1225 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:41:28.776933    1225 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:41:28.786322    1229 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:41:28.786604    1229 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:41:28.810067    1199 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:41:28.810226    1199 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: I0814 16:41:34.689617    1446 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xedd8a56178c694ff ResponseID: Cht_aqa4CbGjnsEPoO2bwA8
ERROR: logging before google.Init: I0814 16:41:52.125816    1481 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x824c0d45816a4847 ResponseID: HBt_asnCILagnsEP4q_0oAI
ERROR: logging before google.Init: E0814 16:42:22.210659    1489 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:42:22.210824    1489 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: W0814 16:42:22.212266    1489 permission_grant_store.go:373] ignoring invalid allow entry "command": invalid grant string: "command"
ERROR: logging before google.Init: W0814 16:42:22.212323    1489 permission_grant_store.go:373] ignoring invalid allow entry "run_command": invalid grant string: "run_command"
ERROR: logging before google.Init: I0814 16:42:27.978133    1611 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa89d5bcdc48e7f61 ResponseID: Pxt_atuPF8jNnsEPg6booQ4
ERROR: logging before google.Init: I0814 16:42:36.914320    1816 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb13adee2a6eaba4c ResponseID: SBt_aobgDOjsnsEP0M27yQw
ERROR: logging before google.Init: I0814 16:42:48.238417    1860 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xd88ce352896a82b ResponseID: Uxt_avrRLrG0kdUPj56YmAw
ERROR: logging before google.Init: E0814 16:42:51.065694    1868 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/autonomous_team.md: invalid frontmatter format
ERROR: logging before google.Init: E0814 16:42:51.065915    1868 rules.go:158] Failed to parse global rule file /Users/dede/.gemini/config/rules/user_global.md: invalid frontmatter format
ERROR: logging before google.Init: I0814 16:42:56.360258    1957 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf229418575d77da5 ResponseID: XBt_as-0Eb6AkdUP7oKN0Ag
ERROR: logging before google.Init: I0814 16:43:03.857108    2007 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xa057eec5a420197e ResponseID: ZBt_asrJG_TonsEP_rmNSA
ERROR: logging before google.Init: I0814 16:43:09.139060    1791 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x8d5e4d8032a47679 ResponseID: aRt_apSWKJGYkdUP1YuAmQI
ERROR: logging before google.Init: I0814 16:43:10.460342       1 manager.go:739] CLI store manager shutting down
ERROR: logging before google.Init: I0814 16:43:10.464929       1 conversation_manager.go:633] Stopping conversation stream
ERROR: logging before google.Init: I0814 16:43:10.465092     309 server.go:1123] Stream goroutine exited for 9fbb7961-f573-4dea-aa97-bb97b8d2803c, sending completion signal
ERROR: logging before google.Init: I0814 16:43:10.465525     309 conversation_manager.go:761] Stream completed for 9fbb7961-f573-4dea-aa97-bb97b8d2803c, clearing ResponsePending
ERROR: logging before google.Init: I0814 16:43:10.466246    2098 server.go:2637] Language server shutting down
ERROR: logging before google.Init: I0814 16:43:10.466319    2098 server.go:2642] Waiting for migrations to complete to prevent partial migration state...
